agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,1,39,-938.8088935932656,-0.06893068895077713,10693.0,105.0
Q-Learning,1,40,-953.6466159330972,-0.08197636651840666,10874.0,181.0
Q-Learning,1,41,-957.4843382729289,-0.05405242732157199,10945.0,71.0
Q-Learning,1,42,-974.4220606127606,-0.08385011059322593,11147.0,202.0
Q-Learning,1,43,-987.0597829525922,-0.07948253043919233,11306.0,159.0
Q-Learning,1,44,-996.5975052924238,-0.0745134557799343,11434.0,128.0
Q-Learning,1,45,-1003.4352276322554,-0.06770022118645148,11535.0,101.0
Q-Learning,1,46,-1012.972949972087,-0.0745134557799343,11663.0,128.0
Q-Learning,1,47,-1016.1106723119186,-0.04902691155986897,11727.0,64.0
Q-Learning,1,48,-1016.4483946517503,-0.009381176106433952,11763.0,36.0
Q-Learning,1,49,-1021.7861169915819,-0.062066538835251234,11849.0,86.0
Q-Learning,1,50,-1031.2238393314135,-0.0743127743293826,11976.0,127.0
Q-Learning,1,51,-1032.8615616712452,-0.03342290489452285,12025.0,49.0
Q-Learning,1,52,-1034.5992840110769,-0.03475444679663238,12075.0,50.0
Q-Learning,1,53,-1037.8370063509085,-0.049811112920486365,12140.0,65.0
Q-Learning,1,54,-1040.87472869074,-0.048217814917962135,12203.0,63.0
Q-Learning,1,55,-1042.3124510305718,-0.030589837017694046,12250.0,47.0
Q-Learning,1,56,-1044.6501733704033,-0.041745041782707444,12306.0,56.0
Q-Learning,1,57,-1047.687895710235,-0.048217814917962135,12369.0,63.0
Q-Learning,1,58,-1065.9256180500665,-0.08482661553410073,12584.0,215.0
Q-Learning,1,59,-1074.763340389898,-0.073039027601914,12705.0,121.0
Q-Learning,1,60,-1075.1010627297296,-0.009381176106433952,12741.0,36.0
Q-Learning,1,61,-1077.1387850695612,-0.038447591317577696,12794.0,53.0
Q-Learning,1,62,-1084.2765074093927,-0.06863194557530385,12898.0,104.0
Q-Learning,1,63,-1092.1142297492243,-0.07061011116965403,13009.0,111.0
Q-Learning,1,64,-1094.051952089056,-0.03726389115060805,13061.0,52.0
Q-Learning,1,65,-1098.9896744288876,-0.0602161260955074,13143.0,82.0
Q-Learning,1,66,-1099.9273967687193,-0.02232672237694338,13185.0,42.0
Q-Learning,1,67,-1102.865119108551,-0.04738261838438088,13247.0,62.0
Q-Learning,1,68,-1106.6028414483826,-0.05339603342616588,13317.0,70.0
Q-Learning,1,69,-1110.0405637882143,-0.05130928865420318,13384.0,67.0
Q-Learning,1,70,-1113.178286128046,-0.04902691155986897,13448.0,64.0
Q-Learning,1,71,-1114.7160084678776,-0.03203588207982541,13496.0,48.0
Q-Learning,1,72,-1117.3537308077093,-0.04470715830223078,13555.0,59.0
Q-Learning,1,73,-1122.1914531475409,-0.05972496715841491,13636.0,81.0
Q-Learning,1,74,-1124.6291754873725,-0.04276705859353713,13693.0,57.0
Q-Learning,1,75,-1125.6668978272041,-0.024133077670502826,13736.0,43.0
Q-Learning,1,76,-1127.2046201670357,-0.03203588207982541,13784.0,48.0
Q-Learning,1,77,-1131.3423425068672,-0.055915166754481216,13858.0,74.0
Q-Learning,1,78,-1132.3800648466988,-0.024133077670502826,13901.0,43.0
Q-Learning,1,79,-1133.2177871865304,-0.020432252191015177,13942.0,41.0
Q-Learning,1,80,-1132.355509526362,0.03592823584034912,13966.0,24.0
Q-Learning,1,81,-1133.3932318661937,-0.024133077670502826,14009.0,43.0
Q-Learning,1,82,-1135.3309542060254,-0.03726389115060805,14061.0,52.0
Q-Learning,1,83,-1135.968676545857,-0.016351854867477502,14100.0,39.0
Q-Learning,1,84,-1138.7063988856887,-0.04562870566386026,14160.0,60.0
Q-Learning,1,85,-1139.0441212255203,-0.009381176106433952,14196.0,36.0
Q-Learning,1,86,-1141.781843565352,-0.04562870566386026,14256.0,60.0
Q-Learning,1,87,-1141.7195659051836,0.0019461768802618157,14288.0,32.0
Q-Learning,1,88,-1145.5572882450151,-0.05405242732157199,14359.0,71.0
Q-Learning,1,89,-1147.0950105848467,-0.03203588207982541,14407.0,48.0
Q-Learning,1,90,-1148.0327329246784,-0.02232672237694338,14449.0,42.0
Q-Learning,1,91,-1147.87045526451,0.005234763231238006,14480.0,31.0
Q-Learning,1,92,-1148.7081776043415,-0.020432252191015177,14521.0,41.0
Q-Learning,1,93,-1148.8458999441732,-0.004050657053871237,14555.0,34.0
Q-Learning,1,94,-1152.8836222840048,-0.055311264929200146,14628.0,73.0
Q-Learning,1,95,-1155.2213446238363,-0.041745041782707444,14684.0,56.0
Q-Learning,1,96,-1161.3590669636678,-0.06529491850884685,14778.0,94.0
Q-Learning,1,97,-1163.4967893034996,-0.03958745073762255,14832.0,54.0
